,0
0,"ul. Wlotowa, Kraków, Poland"
1,"ul. Bibicka, Kraków, Poland"
2,"ul. Krzyża Św., Kraków, Poland"
3,"ul. Kaczorówka, Kraków, Poland"
4,"ul. Zbrojarzy, Kraków, Poland"
5,"ul. Grochowiaka Stanisława, Kraków, Poland"
6,"ul. Sudecka, Kraków, Poland"
7,"ul. Pachońskiego, Kraków, Poland"
8,"ul. Pocieszka, Kraków, Poland"
9,"ul. Kurpińskiego Karola, Kraków, Poland"
10,"ul. Szastera Jana, Kraków, Poland"
11,"ul. Pękowicka, Kraków, Poland"
12,"ul. Wolska, Kraków, Poland"
13,"ul. Mlaskotów, Kraków, Poland"
14,"ul. Róż Al., Kraków, Poland"
15,"ul. Starca Tadeusza, Kraków, Poland"
16,"ul. Topografów, Kraków, Poland"
17,"ul. Czarnowiejska, Kraków, Poland"
18,"ul. Głogowa, Kraków, Poland"
19,"ul. Krakusa, Kraków, Poland"
20,"ul. Bogucicka, Kraków, Poland"
21,"ul. Libertowska, Kraków, Poland"
22,"ul. Imbramowska, Kraków, Poland"
23,"ul. Mikołajska, Kraków, Poland"
24,"ul. Obrońców Modlina, Kraków, Poland"
25,"ul. Starego Wiarusa, Kraków, Poland"
26,"ul. Borkowskie Błonia, Kraków, Poland"
27,"ul. Falowa, Kraków, Poland"
28,"ul. Bora, Kraków, Poland"
29,"ul. Druhny Hanki, Kraków, Poland"
30,"ul. Stachowicza Michała, Kraków, Poland"
31,"ul. Włóczków, Kraków, Poland"
32,"ul. Żyzna, Kraków, Poland"
33,"ul. Biskupińska, Kraków, Poland"
34,"ul. Gryczana, Kraków, Poland"
35,"ul. Kręta, Kraków, Poland"
36,"ul. Popiełuszki Jerzego Księdza, Kraków, Poland"
37,"ul. Gospodarska, Kraków, Poland"
38,"ul. Dąbka Stanisława Płk., Kraków, Poland"
39,"ul. Herwina, Kraków, Poland"
40,"ul. Piaszczysta, Kraków, Poland"
41,"ul. Solvaya Ernesta, Kraków, Poland"
42,"ul. Kiepury Jana, Kraków, Poland"
43,"ul. Siewna, Kraków, Poland"
44,"ul. Doktora Twardego, Kraków, Poland"
45,"ul. Wyczółkowskiego Leona, Kraków, Poland"
46,"ul. Kalwaryjska, Kraków, Poland"
47,"ul. Aleksandry, Kraków, Poland"
48,"ul. Kostaneckiego Kazimierza, Kraków, Poland"
49,"ul. Jazowa, Kraków, Poland"
50,"ul. Franciszkańska, Kraków, Poland"
