"ul. Zielony Dół, Kraków, Poland"
"ul. Zwierzyniecka, Kraków, Poland"
"ul. Łazarskiego Jana, Kraków, Poland"
"ul. Wileńska, Kraków, Poland"
"ul. Lipska, Kraków, Poland"
"ul. Gąsiorowskiego Wacława, Kraków, Poland"
"ul. Krzyża Św., Kraków, Poland"
"ul. Czysta, Kraków, Poland"
"ul. Balicka, Kraków, Poland"
"ul. Puszkarska, Kraków, Poland"
"ul. Ogrodniczek, Kraków, Poland"
"ul. Tarłowska, Kraków, Poland"
"ul. Pod Stokiem, Kraków, Poland"
"ul. Kotlarczyków Jana i Józefa, Kraków, Poland"
"ul. Worcella Stanisława, Kraków, Poland"
"ul. Wygoda, Kraków, Poland"
"ul. Powstania Warszawskiego, Kraków, Poland"
"ul. Radziwiłowska, Kraków, Poland"
"ul. Zina Wiktora, Kraków, Poland"
"ul. Za Targiem, Kraków, Poland"
"ul. Oświęcimska, Kraków, Poland"
"ul. Kniaźnina Franciszka, Kraków, Poland"
"ul. Beniowskiego Maurycego, Kraków, Poland"
"ul. Czarnowiejska, Kraków, Poland"
"ul. Stryjeńskiej Zofii wraz z sięgaczem w kier. Południowo wschodnim do nr 6, Kraków, Poland"
"ul. Rynek Kleparski, Kraków, Poland"
"ul. Kościuszki Tadeusza, Kraków, Poland"
"ul. Zygmunta Starego, Kraków, Poland"
"ul. Mikołajska, Kraków, Poland"
"ul. Spokojna, Kraków, Poland"
"ul. Tarnowska, Kraków, Poland"
"ul. Chopina Fryderyka, Kraków, Poland"
"ul. Szkolna, Kraków, Poland"
"ul. Wawrzyńca Św., Kraków, Poland"
"ul. Nagłowicka, Kraków, Poland"
"ul. Mogilska, Kraków, Poland"
"ul. Jontkowa Górka, Kraków, Poland"
"ul. Zacisze, Kraków, Poland"
"ul. Armii Krajowej, Kraków, Poland"
"ul. Smoleńsk, Kraków, Poland"
"ul. Smocza, Kraków, Poland"
"ul. Brodowicza Józefa, Kraków, Poland"
"ul. Piekarska, Kraków, Poland"
"ul. Loretańska, Kraków, Poland"
"ul. Szlak, Kraków, Poland"
"ul. Powstańców, Kraków, Poland"
"ul. Skowronia, Kraków, Poland"
"ul. Herlinga, Kraków, Poland"
"ul. Helclów, Kraków, Poland"
"ul. Młodej Polski, Kraków, Poland"
"ul. Na Pokusie, Kraków, Poland"
"ul. Chmielowskiego Adama, Kraków, Poland"
"ul. Marcowa, Kraków, Poland"
"ul. Miechowska, Kraków, Poland"
"ul. Bonerowska, Kraków, Poland"
"ul. Gryfity Jaxy, Kraków, Poland"
"ul. Jugowicka, Kraków, Poland"
"ul. Sienkiewicza Henryka, Kraków, Poland"
"ul. Węgłowa, Kraków, Poland"
"ul. Podlesie, Kraków, Poland"
"ul. Mostowa, Kraków, Poland"
"ul. Staffa Leopolda, Kraków, Poland"
"ul. Braci Schindlerów, Kraków, Poland"
"ul. Kosocicka, Kraków, Poland"
"ul. Hubalczyków, Kraków, Poland"
"ul. Dobrego Pasterza, Kraków, Poland"
"ul. Agrestowa, Kraków, Poland"
"ul. Franciszkańska, Kraków, Poland"
"ul. Na Groblach plac, Kraków, Poland"
"ul. Podkamyk, Kraków, Poland"
"ul. Nitscha Kazimierza, Kraków, Poland"
"ul. Nowa, Kraków, Poland"
"ul. Macedońska, Kraków, Poland"
"ul. Wyżgi Kazimierza, Kraków, Poland"
"ul. Książąt Czartoryskich Zaułek, Kraków, Poland"
"ul. Bojki Jakuba, Kraków, Poland"
"ul. Junacka, Kraków, Poland"
"ul. Pylna, Kraków, Poland"
"ul. Agnieszki Św., Kraków, Poland"
"ul. Podbrzezie, Kraków, Poland"
"ul. Zdrowa, Kraków, Poland"
"ul. Powiśle, Kraków, Poland"
"ul. Głogowiec, Kraków, Poland"
"ul. Królewska, Kraków, Poland"
"ul. Szczepański Plac, Kraków, Poland"
"ul. Grottgera, Kraków, Poland"
"ul. Biskupia, Kraków, Poland"
"ul. Mała, Kraków, Poland"
"ul. Sławkowska, Kraków, Poland"
"ul. Olszewskiego, Kraków, Poland"
"ul. Izaaka, Kraków, Poland"
"ul. Szujskiego Józef, Kraków, Poland"
"ul. Wysłouchów Marii i Bolesława, Kraków, Poland"
"ul. Stradomska, Kraków, Poland"
"ul. Nowohucka, Kraków, Poland"
"ul. Słowackiego Juliusza, Kraków, Poland"
"ul. Krupnicza, Kraków, Poland"
"ul. Gołaśka, Kraków, Poland"
"ul. Zamenhofa Ludwika, Kraków, Poland"
"ul. Przybyszewskiego Stanisława 2 części, Kraków, Poland"
"ul. Majora, Kraków, Poland"
"ul. Podchorążych, Kraków, Poland"
"ul. Armii Kraków, Kraków, Poland"
"ul. Sarnie Uroczysko, Kraków, Poland"
"ul. Garbarska, Kraków, Poland"
"ul. Słowiański plac, Kraków, Poland"
"ul. Nad Zalewem, Kraków, Poland"
"ul. Jancarza Kazimierza Ks., Kraków, Poland"
"ul. Krowoderska, Kraków, Poland"
"ul. Poniedziałkowy Dół, Kraków, Poland"
"ul. Włodarczyka Bronisława, Kraków, Poland"
"ul. Augustiańska, Kraków, Poland"
"ul. Strzelców, Kraków, Poland"
"ul. Stolarska, Kraków, Poland"
"ul. Czapińskiego Kazimierza, Kraków, Poland"
"ul. Powstania Listopadowego, Kraków, Poland"
"ul. Dominikański Plac, Kraków, Poland"
"ul. Michałowskiego Piotra, Kraków, Poland"
"ul. Kasztanowa, Kraków, Poland"
"ul. Owocowa, Kraków, Poland"
"ul. Goetla Walerego, Kraków, Poland"
"ul. Bitwy nad Bzurą, Kraków, Poland"
"ul. Tatarska, Kraków, Poland"
"ul. Domeyki Ignacego, Kraków, Poland"
"ul. Na Przejściu, Kraków, Poland"
"ul. Beliny, Kraków, Poland"
"ul. Skarbowa, Kraków, Poland"
"ul. Wyspiańskiego Stanisława, Kraków, Poland"
"ul. Hynka, Kraków, Poland"
"ul. Krótka, Kraków, Poland"
"ul. Świętokrzyska, Kraków, Poland"
"ul. Bosaków, Kraków, Poland"
"ul. Koletek, Kraków, Poland"
"ul. Kupa, Kraków, Poland"
"ul. Misjonarska, Kraków, Poland"
"ul. Szczęśliwa, Kraków, Poland"
"ul. Paulińska, Kraków, Poland"
"ul. Kuklińskiego Ryszarda Płk., Kraków, Poland"
"ul. Pijarska, Kraków, Poland"
"ul. Migdałowa, Kraków, Poland"
"ul. Joselewewicza Berka, Kraków, Poland"
"ul. Lewkowa, Kraków, Poland"
"ul. Rżącka, Kraków, Poland"
"ul. Bujaka Franciszka, Kraków, Poland"
"ul. Poselska, Kraków, Poland"
"ul. Jaskółcza, Kraków, Poland"
"ul. Śliwiaka Tadeusza, Kraków, Poland"
"ul. Białoruska, Kraków, Poland"
"ul. Horaka Alojzego, Kraków, Poland"
"ul. Łokietka, Kraków, Poland"
"ul. Sarego Józefa, Kraków, Poland"
"ul. Stanisława Św., Kraków, Poland"
"ul. Kijowska Al., Kraków, Poland"
"ul. Rysi Stok, Kraków, Poland"
"ul. Wietora Hieronima, Kraków, Poland"
"ul. Śląska, Kraków, Poland"
"ul. Na Stawach Plac, Kraków, Poland"
"ul. Obrońców Warszawy, Kraków, Poland"
"ul. Celarowska, Kraków, Poland"
"ul. Kordiana, Kraków, Poland"
"ul. Żabiniec, Kraków, Poland"
"ul. Halki, Kraków, Poland"
"ul. Lenartowicza Teofila, Kraków, Poland"
"ul. Bernardyńska, Kraków, Poland"
"ul. Starowiślna, Kraków, Poland"
"ul. Pędzichów, Kraków, Poland"
"ul. Feldmana Wilhelma, Kraków, Poland"
"ul. Krzywa, Kraków, Poland"
"ul. Żelazna, Kraków, Poland"
"ul. Krośnieńska, Kraków, Poland"
"ul. Axentowicza Teodora, Kraków, Poland"
"ul. Trakt Papieski, Kraków, Poland"
"ul. Rzeszowska, Kraków, Poland"
"ul. Chocimska, Kraków, Poland"
"ul. Kasztelańska, Kraków, Poland"
"ul. Jana Pawła II, Kraków, Poland"
"ul. Morsztynowska, Kraków, Poland"
"ul. Czapskich, Kraków, Poland"
"ul. Pawia, Kraków, Poland"
"ul. Rybitwy, Kraków, Poland"
"ul. Jagiellońska, Kraków, Poland"
"ul. Pilotów, Kraków, Poland"
"ul. Floriańska, Kraków, Poland"
"ul. Grabowskiego, Kraków, Poland"
"ul. Cybulskiego Napoleona, Kraków, Poland"
"ul. Podedworze, Kraków, Poland"
"ul. Zegadłowicza Emila, Kraków, Poland"
"ul. Krakowska, Kraków, Poland"
