"ul. Wlotowa, Kraków, Poland"
"ul. Kadłubka Wincentego, Kraków, Poland"
"ul. Krzyża Św., Kraków, Poland"
"ul. Braci Kiemliczów, Kraków, Poland"
"ul. Zarosie, Kraków, Poland"
"ul. Sudecka, Kraków, Poland"
"ul. Seweryna Tadeusza prof., Kraków, Poland"
"ul. Połomskiego Tadeusza, Kraków, Poland"
"ul. Jaśminowa, Kraków, Poland"
"ul. Wolska, Kraków, Poland"
"ul. Mlaskotów, Kraków, Poland"
"ul. Róż Al., Kraków, Poland"
"ul. Czarnowiejska, Kraków, Poland"
"ul. Kwiatowa, Kraków, Poland"
"ul. Kanonierów, Kraków, Poland"
"ul. Krakusa, Kraków, Poland"
"ul. Bogucicka, Kraków, Poland"
"ul. Murarska, Kraków, Poland"
"ul. Mikołajska, Kraków, Poland"
"ul. Obrońców Modlina, Kraków, Poland"
"ul. Ładna, Kraków, Poland"
"ul. Bora, Kraków, Poland"
"ul. Stachowicza Michała, Kraków, Poland"
"ul. Włóczków, Kraków, Poland"
"ul. Forteczna, Kraków, Poland"
"ul. Działkowa, Kraków, Poland"
"ul. Biskupińska, Kraków, Poland"
"ul. Śliczna, Kraków, Poland"
"ul. Ostatnia, Kraków, Poland"
"ul. Popiełuszki Jerzego Księdza, Kraków, Poland"
"ul. Wereszyckiego Henryka Prof., Kraków, Poland"
"ul. Dąbka Stanisława Płk., Kraków, Poland"
"ul. Pod Dębami, Kraków, Poland"
"ul. Czerska, Kraków, Poland"
"ul. Elsnera Józefa, Kraków, Poland"
"ul. Zimmer Zygmunty siostry, Kraków, Poland"
"ul. Ehrenberga Gustawa, Kraków, Poland"
"ul. Doktora Twardego, Kraków, Poland"
"ul. Wyczółkowskiego Leona, Kraków, Poland"
"ul. Skrzetuskiego Jana, Kraków, Poland"
"ul. Kalwaryjska, Kraków, Poland"
"ul. Aleksandry, Kraków, Poland"
"ul. Kostaneckiego Kazimierza, Kraków, Poland"
"ul. Sidzińska, Kraków, Poland"
"ul. Franciszkańska, Kraków, Poland"
"ul. Kurniki, Kraków, Poland"
"ul. Dercza Władysława Ks., Kraków, Poland"
"ul. Orleańska, Kraków, Poland"
"ul. Młyńska Boczna, Kraków, Poland"
"ul. Krakusów, Kraków, Poland"
"ul. Książąt Czartoryskich Zaułek, Kraków, Poland"
"ul. Mikołajczyka Stanisława, Kraków, Poland"
"ul. Wicherkiewicza Bolesława Wiktora prof., Kraków, Poland"
"ul. Lentza Stanisława, Kraków, Poland"
"ul. Miodońskiego Jana, Kraków, Poland"
"ul. Banachiewicza Tadeusza, Kraków, Poland"
"ul. Podkowińskiego Władysława, Kraków, Poland"
"ul. Szczepański Plac, Kraków, Poland"
"ul. Kamieniecka, Kraków, Poland"
"ul. Wieniawskiego Henryka, Kraków, Poland"
"ul. Hetmańska, Kraków, Poland"
"ul. Sławkowska, Kraków, Poland"
"ul. Olszewskiego, Kraków, Poland"
"ul. Polonijna, Kraków, Poland"
"ul. Stradomska, Kraków, Poland"
"ul. Nowohucka, Kraków, Poland"
"ul. Słowackiego Juliusza, Kraków, Poland"
"ul. Teligi Leonida, Kraków, Poland"
"ul. Czołgistów, Kraków, Poland"
"ul. Ogrodnicza, Kraków, Poland"
"ul. Limanowskiego Bolesława, Kraków, Poland"
"ul. Homolacsa Karola, Kraków, Poland"
