"ul. Ciołkosza Adama, Kraków, Poland"
"ul. Zwierzyniecka, Kraków, Poland"
"ul. Jachowicza Stanisława, Kraków, Poland"
"ul. Wileńska, Kraków, Poland"
"ul. Lipska, Kraków, Poland"
"ul. Krzyża Św., Kraków, Poland"
"ul. Robla Jana Zygmunta, Kraków, Poland"
"ul. Czysta, Kraków, Poland"
"ul. Balicka, Kraków, Poland"
"ul. Puszkarska, Kraków, Poland"
"ul. Tarłowska, Kraków, Poland"
"ul. Worcella Stanisława, Kraków, Poland"
"ul. Wygoda, Kraków, Poland"
"ul. Powstania Warszawskiego, Kraków, Poland"
"ul. Radziwiłowska, Kraków, Poland"
"ul. Zimorodków, Kraków, Poland"
"ul. Kniaźnina Franciszka, Kraków, Poland"
"ul. Podłącze, Kraków, Poland"
"ul. Czarnowiejska, Kraków, Poland"
"ul. Rynek Kleparski, Kraków, Poland"
"ul. Ciechanowskiego Stanisława, Kraków, Poland"
"ul. Kościuszki Tadeusza, Kraków, Poland"
"ul. Mikołajska, Kraków, Poland"
"ul. Chopina Fryderyka, Kraków, Poland"
"ul. Wawrzyńca Św., Kraków, Poland"
"ul. Nagłowicka, Kraków, Poland"
"ul. Mogilska, Kraków, Poland"
"ul. Zacisze, Kraków, Poland"
"ul. Armii Krajowej, Kraków, Poland"
"ul. Smoleńsk, Kraków, Poland"
"ul. Smocza, Kraków, Poland"
"ul. Brodowicza Józefa, Kraków, Poland"
"ul. Wyrwy, Kraków, Poland"
"ul. Piekarska, Kraków, Poland"
"ul. Loretańska, Kraków, Poland"
"ul. Szlak, Kraków, Poland"
"ul. Powstańców, Kraków, Poland"
"ul. Herlinga, Kraków, Poland"
"ul. Helclów, Kraków, Poland"
"ul. Młodej Polski, Kraków, Poland"
"ul. Chmielowskiego Adama, Kraków, Poland"
"ul. Marcowa, Kraków, Poland"
"ul. Siarczanogórska, Kraków, Poland"
"ul. Owcy, Kraków, Poland"
"ul. Kanarkowa, Kraków, Poland"
"ul. Bonerowska, Kraków, Poland"
"ul. Jugowicka, Kraków, Poland"
"ul. Sienkiewicza Henryka, Kraków, Poland"
"ul. Węgłowa, Kraków, Poland"
"ul. Podlesie, Kraków, Poland"
"ul. Gromady Grudziąż, Kraków, Poland"
"ul. Mostowa, Kraków, Poland"
"ul. Braci Schindlerów, Kraków, Poland"
"ul. Kosocicka, Kraków, Poland"
"ul. Dobrego Pasterza, Kraków, Poland"
"ul. Franciszkańska, Kraków, Poland"
"ul. Na Groblach plac, Kraków, Poland"
"ul. Nowa, Kraków, Poland"
"ul. Macedońska, Kraków, Poland"
"ul. Książąt Czartoryskich Zaułek, Kraków, Poland"
"ul. Bojki Jakuba, Kraków, Poland"
"ul. Junacka, Kraków, Poland"
"ul. Agnieszki Św., Kraków, Poland"
"ul. Podbrzezie, Kraków, Poland"
"ul. Lirników, Kraków, Poland"
"ul. Zdrowa, Kraków, Poland"
"ul. Powiśle, Kraków, Poland"
"ul. Siarczki, Kraków, Poland"
"ul. Królewska, Kraków, Poland"
"ul. Lajkonika, Kraków, Poland"
"ul. Dobczycka, Kraków, Poland"
"ul. Szczepański Plac, Kraków, Poland"
"ul. Grottgera, Kraków, Poland"
"ul. Biskupia, Kraków, Poland"
"ul. Mała, Kraków, Poland"
"ul. Sławkowska, Kraków, Poland"
"ul. Olszewskiego, Kraków, Poland"
"ul. Izaaka, Kraków, Poland"
"ul. Albańska, Kraków, Poland"
"ul. Szujskiego Józef, Kraków, Poland"
"ul. Wysłouchów Marii i Bolesława, Kraków, Poland"
"ul. Półkole, Kraków, Poland"
"ul. Stradomska, Kraków, Poland"
"ul. Nowohucka, Kraków, Poland"
"ul. Słowackiego Juliusza, Kraków, Poland"
"ul. Krupnicza, Kraków, Poland"
"ul. Gołaśka, Kraków, Poland"
"ul. Zamenhofa Ludwika, Kraków, Poland"
"ul. Przybyszewskiego Stanisława 2 części, Kraków, Poland"
"ul. Majora, Kraków, Poland"
"ul. Podchorążych, Kraków, Poland"
"ul. Armii Kraków, Kraków, Poland"
"ul. Garbarska, Kraków, Poland"
"ul. Słowiański plac, Kraków, Poland"
"ul. Jancarza Kazimierza Ks., Kraków, Poland"
"ul. Krowoderska, Kraków, Poland"
"ul. Widok, Kraków, Poland"
"ul. Jar, Kraków, Poland"
"ul. Włodarczyka Bronisława, Kraków, Poland"
"ul. Augustiańska, Kraków, Poland"
"ul. Strzelców, Kraków, Poland"
"ul. Stolarska, Kraków, Poland"
"ul. Świtezianki, Kraków, Poland"
"ul. Zimna, Kraków, Poland"
"ul. Wyrobka Zygmunta, Kraków, Poland"
"ul. Dominikański Plac, Kraków, Poland"
"ul. Michałowskiego Piotra, Kraków, Poland"
"ul. Kasztanowa, Kraków, Poland"
"ul. Korzeniowskiego Józefa, Kraków, Poland"
"ul. Strzelnica, Kraków, Poland"
"ul. Bitwy nad Bzurą, Kraków, Poland"
"ul. Podgórki, Kraków, Poland"
"ul. Na Przejściu, Kraków, Poland"
"ul. Beliny, Kraków, Poland"
"ul. Skarbowa, Kraków, Poland"
"ul. Wyspiańskiego Stanisława, Kraków, Poland"
"ul. Hynka, Kraków, Poland"
"ul. Krótka, Kraków, Poland"
"ul. Świętokrzyska, Kraków, Poland"
"ul. Bosaków, Kraków, Poland"
"ul. Koletek, Kraków, Poland"
"ul. Korbutowej Ludmiły, Kraków, Poland"
"ul. Kupa, Kraków, Poland"
"ul. Paulińska, Kraków, Poland"
"ul. Poręba, Kraków, Poland"
"ul. Kuklińskiego Ryszarda Płk., Kraków, Poland"
"ul. Pijarska, Kraków, Poland"
"ul. Joselewewicza Berka, Kraków, Poland"
"ul. Lewkowa, Kraków, Poland"
"ul. Rżącka, Kraków, Poland"
"ul. Bujaka Franciszka, Kraków, Poland"
"ul. Kopery Feliksa, Kraków, Poland"
"ul. Poselska, Kraków, Poland"
"ul. Śliwiaka Tadeusza, Kraków, Poland"
"ul. Białoruska, Kraków, Poland"
"ul. Gwarna, Kraków, Poland"
"ul. Pochyła, Kraków, Poland"
"ul. Łokietka, Kraków, Poland"
"ul. Sarego Józefa, Kraków, Poland"
"ul. Tuchowska, Kraków, Poland"
"ul. Stojałowskiego Stanisława, Kraków, Poland"
"ul. Stanisława Św., Kraków, Poland"
"ul. Kijowska Al., Kraków, Poland"
"ul. Wietora Hieronima, Kraków, Poland"
"ul. Śląska, Kraków, Poland"
"ul. Obrońców Warszawy, Kraków, Poland"
"ul. Celarowska, Kraków, Poland"
"ul. Kordiana, Kraków, Poland"
"ul. Żabiniec, Kraków, Poland"
"ul. Czeremchowa, Kraków, Poland"
"ul. Lenartowicza Teofila, Kraków, Poland"
"ul. Bernardyńska, Kraków, Poland"
"ul. Starowiślna, Kraków, Poland"
"ul. Słonecznikowa, Kraków, Poland"
"ul. Pędzichów, Kraków, Poland"
"ul. Feldmana Wilhelma, Kraków, Poland"
"ul. Krzywa, Kraków, Poland"
"ul. Żelazna, Kraków, Poland"
"ul. Axentowicza Teodora, Kraków, Poland"
"ul. Bielaka Franciszka, Kraków, Poland"
"ul. Trakt Papieski, Kraków, Poland"
"ul. Ukośna, Kraków, Poland"
