"ul. Zwierzyniecka, Kraków, Poland"
"ul. Nila Augusta Fieldorfa Gen., Kraków, Poland"
"ul. Krzyża Św., Kraków, Poland"
"ul. Płaszowska, Kraków, Poland"
"ul. Brata Alberta Św., Kraków, Poland"
"ul. Głębinowa, Kraków, Poland"
"ul. Worcella Stanisława, Kraków, Poland"
"ul. Radzikowskiego Walerego Eliasza, Kraków, Poland"
"ul. Radziwiłowska, Kraków, Poland"
"ul. Tyniecka, Kraków, Poland"
"ul. Łącka, Kraków, Poland"
"ul. Bociana, Kraków, Poland"
"ul. Przemiarki, Kraków, Poland"
"ul. Róż Al., Kraków, Poland"
"ul. Czarnowiejska, Kraków, Poland"
"ul. Pychowicka, Kraków, Poland"
"ul. Kościuszki Tadeusza, Kraków, Poland"
"ul. Mikołajska, Kraków, Poland"
"ul. Chopina Fryderyka, Kraków, Poland"
"ul. Wadowicka, Kraków, Poland"
"ul. Wawrzyńca Św., Kraków, Poland"
"ul. Bora, Kraków, Poland"
"ul. Zacisze, Kraków, Poland"
"ul. Praska, Kraków, Poland"
"ul. Smocza, Kraków, Poland"
"ul. Jubileuszowa, Kraków, Poland"
"ul. Pala Telekiego, Kraków, Poland"
"ul. Kasprowicza Jana, Kraków, Poland"
"ul. Geodetów ciąg pieszo, Kraków, Poland"
"ul. Loretańska, Kraków, Poland"
"ul. Szlak, Kraków, Poland"
"ul. Herberta Zbigniewa, Kraków, Poland"
"ul. Turystyczna, Kraków, Poland"
"ul. Helclów, Kraków, Poland"
"ul. Stanisława ze Skalbmierza, Kraków, Poland"
"ul. Miechowity, Kraków, Poland"
"ul. Obwodowa, Kraków, Poland"
"ul. Siewna, Kraków, Poland"
"ul. Węgłowa, Kraków, Poland"
"ul. Petofiego Sandora, Kraków, Poland"
"ul. Mostowa, Kraków, Poland"
"ul. Ugorek, Kraków, Poland"
"ul. Gerlacha Mikołaja, Kraków, Poland"
"ul. Kalwaryjska, Kraków, Poland"
"ul. Dereniowa, Kraków, Poland"
"ul. Kołobrzeska, Kraków, Poland"
"ul. Franciszkańska, Kraków, Poland"
"ul. Na Groblach plac, Kraków, Poland"
"ul. Styczna, Kraków, Poland"
"ul. Niewielka, Kraków, Poland"
"ul. Zagonów, Kraków, Poland"
"ul. Fredry Aleksandra, Kraków, Poland"
"ul. Zielińska, Kraków, Poland"
"ul. Stokowa, Kraków, Poland"
"ul. Stefczyka Franciszka, Kraków, Poland"
"ul. Zamiejska, Kraków, Poland"
"ul. Jaworowa, Kraków, Poland"
"ul. Książąt Czartoryskich Zaułek, Kraków, Poland"
"ul. Wyłom, Kraków, Poland"
"ul. Mikołajczyka Stanisława, Kraków, Poland"
"ul. Raciborska, Kraków, Poland"
"ul. Strąkowa, Kraków, Poland"
"ul. Osieckiego Ludwika, Kraków, Poland"
"ul. Powiśle, Kraków, Poland"
"ul. Sąsiedzka, Kraków, Poland"
"ul. Królewska, Kraków, Poland"
"ul. Szczepański Plac, Kraków, Poland"
"ul. Biskupia, Kraków, Poland"
"ul. Sławkowska, Kraków, Poland"
"ul. Zachodnia, Kraków, Poland"
"ul. Olszewskiego, Kraków, Poland"
"ul. Torfowa, Kraków, Poland"
"ul. Batalionu Skała AK, Kraków, Poland"
"ul. Stradomska, Kraków, Poland"
"ul. Nowohucka, Kraków, Poland"
"ul. Słowackiego Juliusza, Kraków, Poland"
"ul. Krupnicza, Kraków, Poland"
"ul. Limanowskiego Bolesława, Kraków, Poland"
"ul. Jahody Roberta wraz z 4 siegaczami między bloki, Kraków, Poland"
"ul. Zamenhofa Ludwika, Kraków, Poland"
"ul. Podchorążych, Kraków, Poland"
"ul. Garbarska, Kraków, Poland"
"ul. Jarzębiny, Kraków, Poland"
"ul. Słowiański plac, Kraków, Poland"
"ul. Stella, Kraków, Poland"
"ul. Zaleskiego Bohdana, Kraków, Poland"
"ul. Studzienna, Kraków, Poland"
"ul. Mierniczych, Kraków, Poland"
"ul. Topolowa, Kraków, Poland"
"ul. Krowoderska, Kraków, Poland"
"ul. Białoprądnicka, Kraków, Poland"
"ul. Augustiańska, Kraków, Poland"
"ul. Mieszczańska, Kraków, Poland"
