"ul. Ducha Św. Plac, Kraków, Poland"
"ul. Westerplatte, Kraków, Poland"
"ul. Tomasza św, Kraków, Poland"
"ul. Lipska, Kraków, Poland"
"ul. Krzyża Św., Kraków, Poland"
"ul. Reformacka, Kraków, Poland"
"ul. Dominikańska, Kraków, Poland"
"ul. Wszystkich Świętych pl, Kraków, Poland"
"ul. Kuklińskiego Ryszarda Płk., Kraków, Poland"
"ul. Pijarska, Kraków, Poland"
"ul. Senacka, Kraków, Poland"
"ul. Straszewskiego, Kraków, Poland"
"ul. Grodzka, Kraków, Poland"
"ul. Szczepański Plac, Kraków, Poland"
"ul. Marka Św., Kraków, Poland"
"ul. Anny Św., Kraków, Poland"
"ul. Stolarska, Kraków, Poland"
"ul. Mały Rynek, Kraków, Poland"
"ul. Sławkowska, Kraków, Poland"
"ul. Kanonicza, Kraków, Poland"
"ul. Olszewskiego, Kraków, Poland"
"ul. Poselska, Kraków, Poland"
"ul. Śliwiaka Tadeusza, Kraków, Poland"
"ul. Szpitalna, Kraków, Poland"
"ul. Wiślna, Kraków, Poland"
"ul. Gołębia, Kraków, Poland"
"ul. Franciszkańska, Kraków, Poland"
"ul. Surzyckiego Jana, Kraków, Poland"
"ul. Dunajewskiego Juliana, Kraków, Poland"
"ul. Gertrudy Św., Kraków, Poland"
"ul. Trakt Papieski, Kraków, Poland"
"ul. Jana Św., Kraków, Poland"
"ul. Dominikański Plac, Kraków, Poland"
"ul. Nowohucka, Kraków, Poland"
"ul. Szeroka, Kraków, Poland"
"ul. Podwale, Kraków, Poland"
"ul. Botewa Christo, Kraków, Poland"
"ul. Mariacki Plac, Kraków, Poland"
"ul. Podzamcze, Kraków, Poland"
"ul. Rynek Główny, Kraków, Poland"
"ul. Książąt Czartoryskich Zaułek, Kraków, Poland"
"ul. Bracka, Kraków, Poland"
"ul. Rybitwy, Kraków, Poland"
"ul. Jagiellońska, Kraków, Poland"
"ul. Szewska, Kraków, Poland"
"ul. Floriańska, Kraków, Poland"
"ul. Szczepańska, Kraków, Poland"
"ul. Idziego Św., Kraków, Poland"
"ul. Mikołajska, Kraków, Poland"
"ul. Basztowa, Kraków, Poland"
"ul. Sienna, Kraków, Poland"
